HomeVictory,HomeDefeat,HomeDraw,HomeGoal,ExtVictory,ExtDefeat,ExtDraw,ExtGoal,Result
0,0,1,2,0,0.5,0.5,1,A
0,0.5,0.5,2,0,0.5,0.5,0.5,A
0,0,1,1,0,0,1,1,A
0,0,1,1,0.5,0.5,0,1.5,A
1,0,0,2,0.5,0,0.5,0.5,H
1,0,0,2,0.5,0,0.5,1.5,A
0.5,0.5,0,0.5,0,0,1,2,A
0.5,0,0.5,1,0,0,1,1.5,A
0,0.5,0.5,0.5,0,0.5,0.5,1,A
0.5,0,0.5,1.5,0,0,1,0.5,A
0,0.5,0.5,1.5,0,0,1,0.5,H
0,0,1,0,0.5,0,0.5,2,H
0.5,0,0.5,1.5,0.5,0.5,0,0.5,H
0,0,1,0.5,0.5,0.5,0,1,H
1,0,0,1,0,0.5,0.5,1,H
0.5,0,0.5,1.5,0,0.5,0.5,1,H
0.5,0,0.5,1.5,0,0.5,0.5,0.5,H
1,0,0,2,0,1,0,1.5,D
0,0,1,1,0.5,0.5,0,2,D
0.5,0.5,0,1.5,0.5,0,0.5,2,H
0,0.5,0.5,0.5,0,0,1,0.5,A
0.5,0,0.5,3,0,0.5,0.5,0.5,A
0,0.5,0.5,1,0,0.5,0.5,0.5,H
0.666666666667,0,0.333333333333,2.33333333333,0.333333333333,0.333333333333,0.333333333333,1,A
0.333333333333,0,0.666666666667,1,0,0.666666666667,0.333333333333,1,D
1,0,0,1,0,0.666666666667,0.333333333333,1.33333333333,H
0.666666666667,0,0.333333333333,2,0.333333333333,0.333333333333,0.333333333333,1.33333333333,H
0.666666666667,0,0.333333333333,1.66666666667,0,0.666666666667,0.333333333333,0.666666666667,A
0.666666666667,0,0.333333333333,1.66666666667,0,0.666666666667,0.333333333333,0.333333333333,A
0,0,1,1,0.333333333333,0.333333333333,0.333333333333,1.66666666667,A
0.666666666667,0.333333333333,0,1.66666666667,0.333333333333,0.333333333333,0.333333333333,1.66666666667,H
0,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0.666666666667,0,1,D
0.333333333333,0,0.666666666667,1.66666666667,0.333333333333,0,0.666666666667,1,A
0.333333333333,0.333333333333,0.333333333333,2.33333333333,0,0.666666666667,0.333333333333,0.666666666667,D
0.666666666667,0.333333333333,0,2,0.5,0,0.5,2,D
0,0.333333333333,0.666666666667,0.666666666667,0,0.333333333333,0.666666666667,0.666666666667,H
0,0.5,0.5,1.5,0.333333333333,0.333333333333,0.333333333333,0.333333333333,H
0,0.666666666667,0.333333333333,1.66666666667,0.333333333333,0.333333333333,0.333333333333,1.66666666667,A
0,0.333333333333,0.666666666667,0.666666666667,0,0.666666666667,0.333333333333,0,H
1,0,0,2,0.666666666667,0.333333333333,0,1.33333333333,D
0.333333333333,0.666666666667,0,0.333333333333,0.333333333333,0,0.666666666667,1.33333333333,A
0.333333333333,0.333333333333,0.333333333333,1,0.333333333333,0,0.666666666667,1.33333333333,A
0,0.666666666667,0.333333333333,0.666666666667,0.333333333333,0,0.666666666667,1.66666666667,H
0.333333333333,0.333333333333,0.333333333333,1.33333333333,0.333333333333,0.333333333333,0.333333333333,1.66666666667,H
0.333333333333,0.333333333333,0.333333333333,1.66666666667,0.666666666667,0,0.333333333333,2,D
0,0.333333333333,0.666666666667,1,0.333333333333,0.333333333333,0.333333333333,1,D
0.25,0.25,0.5,1.5,0.5,0.25,0.25,1,D
0.333333333333,0.333333333333,0.333333333333,1.33333333333,0.5,0.25,0.25,1.25,H
0.5,0.25,0.25,1.75,0,0.75,0.25,1.25,A
0.25,0,0.75,0.75,0.5,0,0.5,1.5,D
0.333333333333,0.333333333333,0.333333333333,1.66666666667,0,0.5,0.5,0.75,A
0.75,0,0.25,2,0.5,0.25,0.25,1.75,A
0.5,0.25,0.25,1.25,0,0.5,0.5,0.5,H
0.75,0,0.25,1.75,0,0.5,0.5,1,D
0.5,0.25,0.25,1.75,0.25,0.5,0.25,1,D
0.25,0.75,0,0.5,0.5,0,0.5,1,A
0,0.5,0.5,0.75,0.333333333333,0.666666666667,0,1,D
0.75,0.25,0,2,0.5,0,0.5,1.5,H
0.25,0.5,0.25,1.5,0.333333333333,0,0.666666666667,1.66666666667,A
0.5,0.25,0.25,2,0.25,0.5,0.25,1,A
0.25,0.5,0.25,1,0.25,0.25,0.5,0.75,A
0.25,0.25,0.5,1.25,0.5,0.25,0.25,1.5,H
1,0,0,1.25,0.25,0.25,0.5,1.5,D
0,0.75,0.25,1.25,0.25,0.5,0.25,1.25,D
0,0.25,0.75,0.75,0.25,0.5,0.25,1.5,H
0,0.25,0.75,0.75,0.5,0,0.5,1.75,A
0.25,0.5,0.25,1,0.25,0.5,0.25,1,A
0.25,0.25,0.5,2.25,0,0.75,0.25,0.25,H
0.25,0.25,0.5,1.25,0.5,0,0.5,1.5,H
0.5,0.25,0.25,1.75,0.25,0.5,0.25,0.5,H
0.25,0.25,0.5,1.25,0.25,0.5,0.25,0.75,H
0.5,0.25,0.25,1.5,0.25,0.5,0.25,1.75,D
0,0.6,0.4,1.2,0.4,0.2,0.4,1,H
0.4,0.4,0.2,1.4,0.4,0.4,0.2,1,H
0.2,0.6,0.2,1.2,0.2,0.6,0.2,1.4,H
0.6,0.2,0.2,1.8,0,0.8,0.2,0.8,H
0.4,0.2,0.4,1.8,0.2,0.6,0.2,0.6,D
0,0.4,0.6,0.6,0.4,0,0.6,1.6,A
0.8,0.2,0,2.2,0.2,0.4,0.4,1.8,D
0.2,0.8,0,0.6,0,0.4,0.6,1,H
0,0.4,0.6,0.8,0.2,0.2,0.6,1.4,D
0.4,0.2,0.4,1.4,0,0.6,0.4,0.6,H
0.6,0.2,0.2,2,0.4,0.4,0.2,1,D
0.2,0.2,0.6,1,0.4,0.4,0.2,1.4,H
0.2,0,0.8,1,0.6,0,0.4,1.8,A
0.8,0,0.2,1.2,0.2,0.4,0.4,1.2,H
0.6,0.2,0.2,1.4,0.4,0.2,0.4,1.2,H
0.4,0.2,0.4,1.6,0.2,0.6,0.2,0.6,A
0.2,0.2,0.6,1.4,0.2,0.4,0.4,1.2,H
0.6,0,0.4,1.6,0.4,0.4,0.2,1.2,H
0.2,0.6,0.2,0.8,0.4,0.2,0.4,1,D
0.4,0.2,0.4,2.6,0.2,0.4,0.4,1,D
0.2,0.6,0.2,1,0.6,0.2,0.2,1.8,D
0.4,0.2,0.4,1.4,0.6,0,0.4,1.4,D
0.4,0.4,0.2,1.6,0.4,0.2,0.4,1.2,D
0.4,0.2,0.4,1.6,0.2,0.6,0.2,1.2,A
0.2,0.4,0.4,1,0.2,0.2,0.6,0.8,A
0.4,0,0.6,1.2,0.4,0.2,0.4,1,A
0.2,0.2,0.6,1,0.4,0.2,0.4,1.4,D
0.8,0,0.2,1.4,0.2,0.6,0.2,1,D
0.2,0.4,0.4,1.2,0.2,0.6,0.2,0.8,A
0.4,0.2,0.4,1.6,0.6,0,0.4,1.8,H
0.4,0.2,0.4,1.6,0.6,0,0.4,1.4,A
0.6,0,0.4,1.8,0.8,0,0.2,1.6,H
0,0.6,0.4,0.6,0.4,0.6,0,0.8,D
0.4,0.2,0.4,2.2,0,0.6,0.4,0.4,H
0.4,0.4,0.2,1.4,0.4,0.4,0.2,1.2,A
0.8,0.2,0,1.4,0.2,0.4,0.4,1.4,D
0,0.6,0.4,0.6,0,0.6,0.4,0.8,A
0.4,0.6,0,1.2,0.4,0.4,0.2,1.2,H
0.4,0.4,0.2,1.4,0.2,0.6,0.2,1.4,A
0.2,0.4,0.4,1.2,0.2,0.4,0.4,1.6,A
0.8,0.2,0,1.8,0.2,0.4,0.4,0.6,H
0.4,0.2,0.4,1.6,0.2,0.6,0.2,1.4,H
0.2,0.2,0.6,1.4,0.2,0.2,0.6,1,D
0.6,0.2,0.2,1.6,0,0.8,0.2,0.4,H
0.4,0.6,0,1.2,0.4,0.4,0.2,1,A
0,0.4,0.6,0.8,0,0.8,0.2,0.8,D
0.6,0.2,0.2,1.6,0.4,0,0.6,1.6,D
0.4,0.2,0.4,1.8,0.4,0.2,0.4,1,H
0.4,0.6,0,1.2,0.2,0.4,0.4,1.2,D
0.6,0.4,0,1.2,0.6,0.2,0.2,1.2,A
0.2,0.6,0.2,1,0.4,0.4,0.2,1.8,H
0.8,0.2,0,2,0.4,0.2,0.4,2.2,H
