Home,Away,HomeVictory,HomeDefeat,HomeDraw,HomeGoal,ExtVictory,ExtDefeat,ExtDraw,ExtGoal
Middlesbrough,Hull,0.6,0.2,0.2,1.6,0.6,0.4,0,0.8
Derby,Nottm Forest,0.4,0.4,0.2,0.6,0.4,0.4,0.2,0.6
Burnley,Wolves,1,0,0,1.8,0,0.6,0.4,0.4
Milton Keynes Dons,Brighton,0.4,0.2,0.4,1,0.4,0.2,0.4,1.2
Sheffield Weds,Charlton,0.4,0.2,0.4,1.6,0.4,0.6,0,1.4
Reading,Cardiff,0.2,0,0.8,0.8,0.6,0.2,0.2,1.8
Ipswich,Rotherham,0.6,0.2,0.2,1.2,0.2,0.6,0.2,0.8
Birmingham,Fulham,0.8,0.2,0,1.6,0.2,0.2,0.6,1.4
Preston,QPR,0.6,0.2,0.2,1.2,0.2,0.2,0.6,1
Leeds,Huddersfield,0.4,0.2,0.4,0.8,0.2,0.6,0.2,1
Brentford,Blackburn,0.2,0.6,0.2,1.4,0,0.6,0.4,0.4
Bristol City,Bolton,0.4,0.4,0.2,0.6,0,0.8,0.2,1
QPR,Middlesbrough,0.8,0.2,0,1.8,0.2,0.6,0.2,0.6
Brighton,Burnley,0.8,0,0.2,2.2,0.6,0,0.4,1.8
Blackburn,Preston,0.8,0.2,0,2.2,0.4,0.4,0.2,1
Hull,Bristol City,0.2,0,0.8,1.6,0.8,0.2,0,1.6
Cardiff,Derby,0.6,0.2,0.2,1.4,0.2,0.4,0.4,1.6
Huddersfield,Sheffield Weds,0.4,0.6,0,1.4,0.4,0.2,0.4,1
Wolves,Ipswich,0.4,0.2,0.4,1.4,0.2,0.6,0.2,0.8
Charlton,Birmingham,0.2,0.4,0.4,1,0,0.4,0.6,0
Rotherham,Leeds,0.4,0.2,0.4,1.4,0.4,0.4,0.2,1
Nottm Forest,Brentford,0.2,0.6,0.2,0.4,0.2,0.8,0,0.8
Bolton,Reading,0.2,0.4,0.4,1.4,0.2,0.8,0,1.2
Fulham,Milton Keynes Dons,0.2,0.6,0.2,1.4,0.2,0.2,0.6,0.8
