Home,Away,HomeVictory,HomeDefeat,HomeDraw,HomeGoal,ExtVictory,ExtDefeat,ExtDraw,ExtGoal
Monaco,Bordeaux,0.8,0,0.2,2.4,0.2,0.6,0.2,1.4
Paris SG,Nice,0.4,0.2,0.4,1.4,0.2,0.4,0.4,0.6
Troyes,Angers,0,0.8,0.2,0.4,0,0.8,0.2,0.8
Guingamp,Montpellier,0.6,0.2,0.2,2.2,0.4,0.2,0.4,1.6
Rennes,Reims,0.6,0.2,0.2,1.6,0.2,0.6,0.2,1
Toulouse,Caen,0.2,0.4,0.4,1.4,0.4,0.6,0,1
Ajaccio GFCO,St Etienne,0.2,0.4,0.4,0.8,0.4,0.2,0.4,1.2
Nantes,Lille,0.6,0,0.4,1.8,0.2,0.4,0.4,0.6
Bastia,Marseille,0.4,0.2,0.4,0.8,0.2,0,0.8,1
Lorient,Lyon,0.4,0.2,0.4,1.6,0.2,0.6,0.2,1
