,A_FIVE_AC,A_FIVE_AF,A_FIVE_AR,A_FIVE_AS,A_FIVE_AST,A_FIVE_AY,A_FIVE_FTAG,A_FIVE_FTHG,A_FIVE_FTR_A,A_FIVE_FTR_D,A_FIVE_FTR_H,A_FIVE_HC,A_FIVE_HF,A_FIVE_HR,A_FIVE_HS,A_FIVE_HST,A_FIVE_HTAG,A_FIVE_HTHG,A_FIVE_HTR_A,A_FIVE_HTR_D,A_FIVE_HTR_H,A_FIVE_HY,A_THREE_AC,A_THREE_AF,A_THREE_AR,A_THREE_AS,A_THREE_AST,A_THREE_AY,A_THREE_FTAG,A_THREE_FTHG,A_THREE_FTR_A,A_THREE_FTR_D,A_THREE_FTR_H,A_THREE_HC,A_THREE_HF,A_THREE_HR,A_THREE_HS,A_THREE_HST,A_THREE_HTAG,A_THREE_HTHG,A_THREE_HTR_A,A_THREE_HTR_D,A_THREE_HTR_H,A_THREE_HY,H_FIVE_AC,H_FIVE_AF,H_FIVE_AR,H_FIVE_AS,H_FIVE_AST,H_FIVE_AY,H_FIVE_FTAG,H_FIVE_FTHG,H_FIVE_FTR_A,H_FIVE_FTR_D,H_FIVE_FTR_H,H_FIVE_HC,H_FIVE_HF,H_FIVE_HR,H_FIVE_HS,H_FIVE_HST,H_FIVE_HTAG,H_FIVE_HTHG,H_FIVE_HTR_A,H_FIVE_HTR_D,H_FIVE_HTR_H,H_FIVE_HY,H_THREE_AC,H_THREE_AF,H_THREE_AR,H_THREE_AS,H_THREE_AST,H_THREE_AY,H_THREE_FTAG,H_THREE_FTHG,H_THREE_FTR_A,H_THREE_FTR_D,H_THREE_FTR_H,H_THREE_HC,H_THREE_HF,H_THREE_HR,H_THREE_HS,H_THREE_HST,H_THREE_HTAG,H_THREE_HTHG,H_THREE_HTR_A,H_THREE_HTR_D,H_THREE_HTR_H,H_THREE_HY,INFO_AwayTeam,INFO_BbAvA,INFO_BbAvD,INFO_BbAvH,INFO_Date,INFO_Div,INFO_FTAG,INFO_FTHG,INFO_FTR,INFO_HTR,INFO_HomeTeam,INFO_PSA,INFO_PSD,INFO_PSH,INFO_WIN,pred
675,5.8,9.8,0.2,6.4,2.2,2.0,1.2,2.0,0.2,0.0,0.8,6.6,10.6,0.0,9.2,5.2,0.2,0.6,0.0,0.8,0.2,1.8,7.0,11.67,0.33,7.33,2.0,2.33,0.67,1.67,0.0,0.0,1.0,5.33,10.0,0.0,8.67,3.67,0.33,0.33,0.0,1.0,0.0,1.33,5.4,15.0,0.0,9.2,3.4,2.6,1.4,1.0,0.4,0.2,0.4,4.4,11.8,0.0,10.2,4.8,0.8,0.4,0.4,0.2,0.4,0.6,5.67,16.33,0.0,8.67,2.33,3.33,1.33,1.0,0.33,0.33,0.33,4.33,8.67,0.0,8.67,4.33,0.67,0.33,0.33,0.33,0.33,1.0,Huddersfield,2.63,3.25,2.51,2009-11-01,E2,1.0,0.0,A,D,Oldham,,,,-1.0,True
678,5.8,9.8,0.2,12.0,7.0,1.8,1.4,1.0,0.4,0.0,0.6,3.0,9.2,0.0,12.8,8.2,1.0,0.4,0.4,0.4,0.2,0.6,5.67,8.67,0.0,15.0,7.67,1.67,1.67,1.0,0.33,0.0,0.67,1.0,10.0,0.0,8.33,3.67,1.0,0.33,0.33,0.33,0.33,1.0,3.6,12.6,0.0,12.2,7.0,2.0,2.4,2.4,0.2,0.6,0.2,7.0,11.6,0.0,15.6,8.0,1.0,1.2,0.4,0.4,0.2,2.4,4.67,9.67,0.0,11.0,7.0,1.33,2.67,2.33,0.33,0.67,0.0,8.0,9.67,0.0,16.33,8.0,1.67,1.0,0.67,0.33,0.0,1.67,Newcastle,2.47,3.22,2.71,2009-11-02,E1,1.0,0.0,A,D,Sheffield United,,,,-1.0,True
681,6.8,9.0,0.0,10.8,7.4,1.2,1.0,2.4,0.2,0.0,0.8,5.0,9.4,0.0,13.0,5.8,0.4,1.2,0.2,0.0,0.8,1.0,6.67,10.33,0.0,11.0,7.0,1.67,1.0,2.0,0.33,0.0,0.67,6.0,8.33,0.0,11.67,5.0,0.33,1.67,0.0,0.0,1.0,1.0,5.0,12.4,0.2,9.8,4.0,1.8,1.6,1.6,0.6,0.0,0.4,5.4,11.4,0.0,13.0,6.4,0.4,0.8,0.0,0.6,0.4,1.6,5.67,11.33,0.33,9.33,4.33,1.33,1.33,2.0,0.33,0.0,0.67,4.0,11.33,0.0,14.67,7.0,0.33,1.0,0.0,0.33,0.67,1.67,Coventry,3.2,3.26,2.18,2009-11-06,E1,1.0,2.0,H,A,Derby,,,,1.18,True
689,4.4,20.2,0.2,13.2,4.6,2.2,1.8,2.2,0.4,0.0,0.6,4.2,17.4,0.2,14.0,5.0,0.6,1.2,0.4,0.0,0.6,0.6,5.67,21.0,0.33,13.0,4.33,2.33,1.33,2.33,0.33,0.0,0.67,3.33,18.67,0.0,14.67,5.67,0.67,1.0,0.33,0.0,0.67,1.0,3.2,15.0,0.0,11.4,5.0,2.0,1.8,1.8,0.4,0.2,0.4,6.4,19.4,0.2,16.0,4.4,0.8,1.0,0.2,0.6,0.2,1.6,4.0,14.33,0.0,10.67,3.33,1.67,1.0,2.0,0.0,0.33,0.67,6.33,19.67,0.0,13.67,4.67,0.67,1.33,0.0,0.67,0.33,1.33,Montpellier,3.54,3.05,2.13,2009-11-07,F1,1.0,1.0,D,A,Valenciennes,,,,-1.0,True
696,6.6,12.2,0.0,11.0,6.6,2.0,2.0,1.4,0.4,0.4,0.2,4.0,11.2,0.0,10.0,6.0,1.0,0.2,0.6,0.4,0.0,0.8,6.0,11.33,0.0,12.67,6.67,2.0,2.0,1.33,0.33,0.67,0.0,3.0,10.33,0.0,12.33,7.0,1.33,0.0,1.0,0.0,0.0,1.0,5.2,10.4,0.0,8.2,3.8,1.2,1.2,1.2,0.2,0.4,0.4,4.6,11.6,0.0,10.2,4.8,0.2,0.6,0.2,0.4,0.4,1.4,6.33,10.0,0.0,9.33,3.67,1.33,0.67,1.67,0.0,0.67,0.33,4.0,11.67,0.0,9.33,4.33,0.0,1.0,0.0,0.33,0.67,1.67,Middlesbrough,2.55,3.22,2.64,2009-11-07,E1,0.0,1.0,H,D,Crystal Palace,,,,1.64,True
700,3.6,12.2,0.4,8.4,4.8,2.2,1.0,1.6,0.0,0.6,0.4,9.0,13.2,0.2,15.4,8.2,0.8,0.2,0.6,0.4,0.0,1.6,3.33,13.33,0.67,8.67,5.0,2.67,1.33,1.67,0.0,0.67,0.33,8.67,12.33,0.33,17.67,8.33,1.0,0.0,1.0,0.0,0.0,2.0,6.4,10.2,0.0,12.2,6.2,1.2,1.4,0.8,0.6,0.2,0.2,8.2,14.0,0.2,11.2,5.0,0.6,0.2,0.6,0.2,0.2,1.6,4.67,11.0,0.0,14.67,7.0,1.0,1.0,1.0,0.33,0.33,0.33,6.33,13.67,0.33,9.0,5.33,0.33,0.33,0.33,0.33,0.33,0.67,Doncaster,2.83,3.23,2.39,2009-11-07,E1,1.0,2.0,H,D,Plymouth,,,,1.39,True
702,4.4,12.6,0.4,10.8,4.2,1.8,1.6,1.0,0.6,0.2,0.2,4.4,10.4,0.0,12.6,7.0,1.0,0.4,0.6,0.2,0.2,1.4,5.0,13.33,0.67,11.0,4.33,2.0,1.67,1.67,0.33,0.33,0.33,3.67,9.67,0.0,12.0,6.67,0.67,0.67,0.33,0.33,0.33,1.33,6.0,13.0,0.2,8.8,5.0,2.2,1.4,1.6,0.4,0.2,0.4,6.4,10.6,0.0,12.0,6.8,0.8,1.2,0.0,0.8,0.2,1.0,5.67,12.33,0.33,8.33,4.0,2.33,1.0,2.0,0.33,0.0,0.67,6.67,10.67,0.0,14.33,8.0,0.67,1.33,0.0,0.67,0.33,1.33,QPR,2.42,3.26,2.77,2009-11-07,E1,2.0,1.0,A,D,Sheffield Weds,,,,-1.0,True
703,4.0,9.8,0.4,9.8,5.0,2.0,2.0,1.6,0.6,0.0,0.4,9.2,10.6,0.0,15.8,8.4,1.0,1.0,0.2,0.6,0.2,0.8,4.0,10.33,0.33,11.0,5.67,2.67,3.0,2.0,0.67,0.0,0.33,9.0,13.33,0.0,18.33,10.33,1.67,1.0,0.33,0.67,0.0,1.33,3.8,15.2,0.4,6.4,3.0,2.4,0.4,1.0,0.0,0.6,0.4,8.4,7.8,0.4,14.8,7.2,0.0,0.0,0.0,1.0,0.0,1.6,3.67,14.67,0.67,6.67,2.67,2.33,0.33,1.33,0.0,0.33,0.67,8.33,8.0,0.67,13.67,6.33,0.0,0.0,0.0,1.0,0.0,1.33,Cardiff,2.81,3.19,2.42,2009-11-07,E1,2.0,3.0,H,D,Swansea,,,,1.42,True
704,5.6,12.4,0.2,9.2,6.0,1.4,1.2,2.0,0.4,0.2,0.4,7.6,10.6,0.0,16.8,9.0,0.6,1.0,0.2,0.4,0.4,1.2,5.33,11.33,0.0,9.33,5.33,0.67,1.33,2.0,0.67,0.0,0.33,6.33,10.67,0.0,18.0,8.67,0.67,0.67,0.33,0.33,0.33,1.33,4.4,11.2,0.0,11.8,6.6,1.2,2.2,2.0,0.4,0.2,0.4,8.6,11.6,0.0,11.2,6.2,1.2,0.8,0.4,0.2,0.4,0.4,5.33,10.33,0.0,14.0,8.0,0.67,2.67,2.0,0.67,0.0,0.33,8.67,12.33,0.0,12.33,7.67,1.33,1.33,0.33,0.0,0.67,0.33,Preston,2.82,3.24,2.39,2009-11-07,E1,0.0,2.0,H,H,Watford,,,,1.39,True
708,2.6,16.4,0.0,8.8,2.8,1.0,0.4,2.0,0.0,0.4,0.6,4.0,13.6,0.0,15.8,6.4,0.0,1.2,0.0,0.4,0.6,0.6,1.67,18.0,0.0,4.0,2.0,1.0,0.33,3.0,0.0,0.0,1.0,5.0,13.0,0.0,17.67,7.33,0.0,1.67,0.0,0.33,0.67,0.33,5.6,18.4,0.0,14.2,4.4,1.2,1.0,2.2,0.0,0.2,0.8,2.4,18.4,0.0,10.0,5.2,0.4,1.2,0.2,0.2,0.6,2.2,5.67,18.0,0.0,13.0,3.0,1.33,0.67,2.33,0.0,0.0,1.0,2.33,17.67,0.0,8.33,4.67,0.0,1.0,0.0,0.33,0.67,3.33,Nurnberg,3.43,3.3,2.07,2009-11-07,D1,0.0,1.0,H,H,Mainz,,,,1.07,True
